i0	i1	i2	i3	i4	i5	i6	s1	s2	s3	s4	s5	s6
Joseph_217.png	Emily_234.png	Oliver_193.png	Sue_144.png	Linda_217.png	Christina_174.png	Joel_221.png	0.9291	1.0446	1.0467	1.0621	1.0707	1.075
Olivia_174.png	Eric_279.png	Kelly_152.png	Danny_112.png	Monica_174.png	Jeff_168.png	Eva_209.png	1.0761	1.0933	1.0985	1.1193	1.1204	1.1261
Jim_194.png	Greg_157.png	Jane_11.png	Tony_24.png	Rachel_109.png	Cindy_100.png	Patrick_132.png	1.0695	1.0839	1.0853	1.0927	1.0984	1.0989
Jason_119.png	Steven_247.png	Danny_129.png	Thomas_106.png	Ian_161.png	Christine_170.png	David_116.png	0.9375	0.9569	0.9967	1.0059	1.0082	1.0093
Michelle_247.png	Natalia_140.png	Noah_30.png	Helen_118.png	Danielle_117.png	Lisa_138.png	Barbara_136.png	1.0754	1.0898	1.1013	1.1066	1.1097	1.1109
Kate_170.png	Anna_137.png	Nancy_276.png	Grace_124.png	Abby_262.png	Anthony_164.png	Rachel_20.png	0.9911	1.0165	1.0545	1.056	1.0771	1.0844
Annie_127.png	Anthony_111.png	Christina_127.png	Sarah_100.png	Linda_129.png	Vanessa_180.png	Nathan_3.png	1.0258	1.0659	1.0901	1.0982	1.1048	1.119
Rachel_173.png	Zoe_147.png	Helen_123.png	Samantha_232.png	Katie_110.png	Ann_113.png	Helen_100.png	0.9195	0.992	1.0029	1.0242	1.0268	1.0311
Zoe_107.png	Sarah_160.png	Julie_188.png	Brandon_1.png	Christina_100.png	Leah_206.png	Joey_162.png	0.9908	1.0492	1.0877	1.0958	1.1102	1.1172
Nathan_220.png	Thomas_281.png	Joel_171.png	Greg_135.png	Jamie_12.png	Erin_167.png	Jesse_203.png	1.0266	1.0884	1.0932	1.0941	1.1086	1.1105
Melissa_189.png	Oliver_290.png	Sarah_120.png	Lisa_166.png	James_130.png	Lauren_101.png	Annie_184.png	1.0283	1.0463	1.0532	1.0621	1.0655	1.0694
Ian_33.png	Joel_190.png	Jake_112.png	Zoe_106.png	Danny_129.png	Andrea_185.png	Michelle_177.png	0.9771	1.0156	1.0215	1.0298	1.0401	1.0427
James_225.png	Danielle_119.png	Jeff_139.png	Joel_214.png	Jason_179.png	Tony_277.png	Jake_17.png	1.0547	1.0729	1.0853	1.0905	1.0931	1.0948
Danny_200.png	Steven_143.png	Jon_178.png	Anthony_12.png	Kyle_143.png	Anna_152.png	Jake_324.png	1.0928	1.0951	1.1468	1.1571	1.1643	1.1718
Chris_103.png	Aaron_186.png	Jason_124.png	Nathan_233.png	Joey_14.png	Jesse_194.png	Abby_10.png	1.0566	1.063	1.0817	1.0828	1.0928	1.106
Ann_139.png	Cindy_15.png	Jo_10.png	Samantha_232.png	Maggie_30.png	Barbara_129.png	Sarah_234.png	0.9452	1.0415	1.0561	1.0572	1.0577	1.0657
Anthony_163.png	Thomas_267.png	Marc_114.png	Jake_277.png	Lucas_117.png	Lucas_228.png	Vanessa_231.png	1.0562	1.1017	1.1072	1.1349	1.1402	1.1423
Nick_16.png	Zoe_169.png	Stephen_131.png	Kelly_102.png	James_12.png	Mike_195.png	Aaron_244.png	1.0386	1.0959	1.1131	1.1196	1.1226	1.127
Evan_267.png	Samantha_193.png	Joseph_145.png	Chris_191.png	James_212.png	Jon_173.png	Lisa_105.png	1.0294	1.0453	1.1056	1.1272	1.1362	1.1365
Samantha_196.png	Eva_219.png	Cindy_173.png	Monica_162.png	Olivia_283.png	Kate_273.png	Jim_130.png	1.0374	1.0619	1.068	1.0716	1.0753	1.088
Oliver_286.png	Annie_194.png	Anna_149.png	Annie_115.png	Rachel_249.png	Lisa_147.png	Tina_229.png	0.8966	0.9619	0.9717	0.9781	0.9796	0.9807
Christine_181.png	Linda_127.png	Aaron_152.png	Jane_100.png	Elizabeth_186.png	Rachel_189.png	Michelle_225.png	1.0345	1.0704	1.09	1.0949	1.097	1.1071
Danny_167.png	Samantha_142.png	Victor_249.png	Monica_216.png	Ian_229.png	Monica_1.png	Kate_265.png	1.1089	1.1105	1.1193	1.1331	1.1338	1.1391
Patrick_222.png	Brian_191.png	Nick_140.png	Kyle_213.png	Monica_212.png	Gabriel_211.png	Brian_100.png	1.055	1.0849	1.0866	1.1026	1.1129	1.1217
Annie_175.png	Andrea_121.png	Vanessa_235.png	Elizabeth_194.png	Maggie_150.png	Julie_214.png	Vanessa_169.png	1.0662	1.0906	1.0956	1.0994	1.1166	1.1167
Lauren_241.png	Abby_148.png	Christina_143.png	Sofia_295.png	Helen_28.png	Noah_31.png	Vanessa_133.png	0.8735	1.0148	1.0244	1.0258	1.0347	1.0379
Jake_287.png	Jane_103.png	Evan_112.png	Jim_286.png	Noah_219.png	Patrick_117.png	Nick_191.png	0.9481	1.0959	1.1078	1.1148	1.1169	1.1212
Kim_207.png	Anthony_176.png	Julie_159.png	Jane_186.png	Marc_169.png	Christina_121.png	Amanda_107.png	1.0328	1.0549	1.0673	1.0888	1.0956	1.1001
Angela_114.png	Sergio_121.png	Linda_240.png	Tina_158.png	Erin_142.png	Sofia_177.png	Lisa_256.png	1.01	1.0121	1.033	1.0573	1.0604	1.0641
Samantha_189.png	Eva_219.png	Rebecca_252.png	Jim_130.png	Gabriel_218.png	Olivia_28.png	Olivia_283.png	1.0511	1.0841	1.0941	1.0984	1.11	1.112
Patricia_16.png	Jane_111.png	Mike_235.png	Katie_145.png	Katie_157.png	Vanessa_113.png	Helen_153.png	0.9637	0.982	1.0757	1.0757	1.0843	1.0854
Elizabeth_19.png	Sarah_156.png	Leah_168.png	Rebecca_22.png	Monica_155.png	Joey_184.png	Jesse_203.png	0.9993	1.0122	1.0778	1.0793	1.0914	1.0916
Eric_260.png	Rachel_166.png	Patrick_234.png	Jane_200.png	Erin_150.png	Ann_141.png	Vanessa_27.png	1.0316	1.0397	1.0667	1.0712	1.0745	1.0799
Andrea_182.png	Stephen_159.png	Jake_116.png	Linda_252.png	Dylan_103.png	Jonathan_156.png	Elena_103.png	1.1366	1.1441	1.1485	1.1567	1.1576	1.158
Joseph_162.png	Danny_168.png	Nancy_209.png	Stephen_124.png	Matthew_161.png	Nathan_165.png	Nathan_149.png	1.1015	1.1205	1.1351	1.1385	1.1481	1.1502
Zoe_210.png	Joel_14.png	Annie_107.png	Samantha_204.png	Thomas_216.png	Monica_162.png	Sofia_305.png	1.0163	1.0338	1.054	1.0777	1.0888	1.0915
Sergio_154.png	Stephen_148.png	Gary_105.png	Tony_189.png	Steve_112.png	Jesse_186.png	Brandon_255.png	1.0766	1.0833	1.0988	1.1106	1.1112	1.1131
Eric_224.png	Mike_149.png	Ann_188.png	Paula_107.png	Emma_313.png	Michelle_18.png	Brian_188.png	1.0196	1.0786	1.083	1.0898	1.0948	1.096
David_162.png	Mike_105.png	James_23.png	Melissa_183.png	Greg_199.png	Joseph_184.png	Chris_152.png	1.0758	1.0793	1.0798	1.0908	1.0911	1.0938
Nicolas_10.png	Olivia_263.png	Paula_197.png	Vanessa_192.png	Tyler_183.png	Joey_192.png	Elena_129.png	1.0502	1.0608	1.0638	1.0732	1.0832	1.0904
Steve_133.png	Sergio_108.png	James_148.png	Joey_109.png	Jim_17.png	Joel_139.png	Tony_194.png	1.1589	1.1675	1.1767	1.1802	1.1812	1.1891
Katie_110.png	Elena_20.png	Helen_123.png	Abby_12.png	Emily_223.png	Cindy_142.png	Jackie_166.png	0.8624	0.8938	0.8996	0.9068	0.9271	0.9272
Emma_230.png	Ian_215.png	Olivia_344.png	Abby_152.png	Angela_105.png	Melissa_213.png	Jackie_102.png	0.9966	1.021	1.0229	1.0331	1.0516	1.057
Leah_100.png	Maggie_158.png	Jackie_154.png	Julie_112.png	Natalia_205.png	Joseph_160.png	Chris_194.png	1.0398	1.0632	1.0733	1.0818	1.083	1.0837
Vanessa_272.png	Leah_107.png	Eva_141.png	Ann_168.png	Ann_215.png	Samantha_196.png	Sofia_268.png	1.0172	1.0673	1.0694	1.0875	1.0892	1.111
Jackie_14.png	Christina_134.png	Julie_137.png	Elena_211.png	Katie_18.png	Emily_174.png	Erin_30.png	0.9155	0.9556	1.014	1.0143	1.0376	1.0527
Jackie_143.png	Rachel_166.png	Barbara_187.png	Monica_106.png	Andrea_203.png	Barbara_190.png	Jamie_189.png	1.0279	1.035	1.0474	1.0664	1.0734	1.094
Elena_263.png	Linda_217.png	Tyler_22.png	Maggie_282.png	Michelle_235.png	Melissa_23.png	Nancy_141.png	1.0307	1.0592	1.0615	1.0749	1.0963	1.0982
Christine_189.png	Andrea_11.png	Abby_227.png	Rachel_17.png	Paula_197.png	Andrea_140.png	Linda_218.png	1.0619	1.0692	1.0966	1.1101	1.114	1.1155
